engine,context_tokens,output_tokens,decode_tps,ttft_seconds,spec_efficiency_percent,status
Uzu Mirai-M,1000,512,20.078686,5.259319,76.367,clean
Uzu Mirai-M,5000,512,16.632188,25.441674,73.047,clean
Uzu Mirai-M,10000,512,15.995803,51.739371,72.461,clean
Uzu Mirai-M,20000,512,15.737048,110.387608,73.047,clean
Uzu Mirai-M,30000,512,13.297283,177.907086,70.312,clean
Uzu Mirai-M,40000,512,13.565935,254.542249,71.484,clean
oMLX OptiQ+DFlash,1000,512,14.789485,4.857167,63.300,clean
oMLX OptiQ+DFlash,5000,512,15.269668,24.021204,64.500,clean
oMLX OptiQ+DFlash,10000,512,14.707535,73.424809,64.600,clean
oMLX OptiQ+DFlash,20000,512,13.100000,369.796000,65.000,ram_safety_boundary_engine_log
oMLX MXFP4+DFlash BF16,1000,512,11.643286,4.754985,63.900,clean
oMLX MXFP4+DFlash BF16,5000,512,11.725736,24.822802,63.900,clean
oMLX MXFP4+DFlash BF16,10000,512,8.685542,54.018947,60.400,clean
oMLX MXFP4+DFlash BF16,20000,512,8.661239,120.512201,63.900,clean
oMLX MXFP4+DFlash BF16,30000,512,8.500000,217.756000,65.000,ram_safety_boundary_engine_log
oMLX MXFP4+DFlash 4-bit,1000,512,13.732802,4.850714,63.900,clean
oMLX MXFP4+DFlash 4-bit,5000,512,13.802800,24.006735,62.900,clean
oMLX MXFP4+DFlash 4-bit,10000,512,13.631943,46.741172,62.700,clean
oMLX MXFP4+DFlash 4-bit,20000,512,13.299174,98.562544,64.600,clean
oMLX MXFP4+DFlash 4-bit,30000,512,11.540218,183.792748,64.300,clean
oMLX MXFP4+DFlash 4-bit,40000,512,12.500000,498.546000,66.800,ram_safety_boundary_engine_log
